ID,name,vapage,website,phone,address,region,descr,reglatlong,times,fees,amenities,trails,shipsto
187,Rosemont Vineyards,https://www.virginiawine.org/wineries/rosemont-vineyards,http://RosemontofVirginia.com,434-636-9463,"1050 Blackridge Road, LaCrosse, Virginia 23950",Southern Virginia,From Bud Break to Bottle,"(36.5883045, -78.0661485)","['Mon: 11:00 AM - 6:00 PM', 'Tues: 11:00 AM - 6:00 PM', 'Wed: 11:00 AM - 6:00 PM', 'Thurs: 11:00 AM - 6:00 PM', 'Fri: 11:00 AM - 6:00 PM', 'Sat: 11:00 AM - 6:00 PM', 'Sun: 1:00 PM - 6:00 PM', 'Child: Friendly', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop']",Tour Fee: Free,"['Features', 'Child Friendly', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']",,"['Alaska', 'California', 'District of Columbia', 'Florida', 'Idaho', 'Louisiana', 'Maryland', 'Michigan', 'Missouri', 'Nevada', 'New York', 'Ohio', 'Oregon', 'Virginia']"
188,Rural Retreat Winery & Vineyards,https://www.virginiawine.org/wineries/rural-retreat-winery-vineyards,http://www.ruralretreatwinery.com,276-686-8300,"201 Church Street, Rural Retreat, Virginia 24368",Blue Ridge,"Well known for making fine wine for since 1996, the Dye's tradition continues in Rural Retreat. Our wine selection includes full body reds from locally grown Steubens and Chambourcins and lovely whites from fruity Rieslings, Vidal Blancs, Traminettes and Viogniers. Full service deli features Amish style meats and cheeses and serves light fare sandwiches, soups and salads. Join us in Rural Retreat, relax on our large porch and enjoy a delightful glass of wine.","(36.8943383, -81.2770399)","['Mon: Closed', 'Tues: 11:00 AM - 5:30 PM', 'Wed: 11:00 AM - 5:30 PM', 'Thurs: 11:00 AM - 5:30 PM', 'Fri: 11:00 AM - 5:30 PM', 'Sat: 11:00 AM - 5:30 PM', 'Sun: Closed', 'Bu: s', 'Child: Friendly', 'Food: Available: Restaurant', 'Group: Tours', 'Overnight: Stay', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop']",Tasting Fee: 5.00,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Restaurant', 'Group Tours', 'Overnight Stay', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']",,"['Alabama', 'Alaska', 'Arizona', 'Arkansas', 'California', 'Colorado', 'Georgia', 'Hawaii', 'Illinois', 'Indiana', 'Kansas', 'Louisiana', 'Maine', 'Maryland', 'Minnesota', 'Missouri', 'Nebraska', 'New Hampshire', 'New Mexico', 'New York', 'North Carolina', 'North Dakota', 'Oregon', 'Pennsylvania', 'South Carolina', 'Tennessee', 'Texas', 'Virginia', 'Washington', 'West Virginia', 'Wisconsin']"
189,Sans Soucy Vineyards ,https://www.virginiawine.org/wineries/sans-soucy-vineyards,http://www.sanssoucyvineyards.com,434-376-9463,"1571 Mt Calvary Rd, Brookneal, Virginia 24528",Central Virginia,"We are a small family owned and operated farm winery located in the historic tobacco country in Brookneal Virginia, the 1st farm winery in Campbell county, just minutes away from Red Hill Patrick Henrys last home and resting place and within a 30 minute drive from historic Appomattox and the cities of Lynchburg and South Boston. In addition we are conveniently located less than two hours from Charlottesville, Farmville, Bedford, Roanoke and Danville Virginia, as well as Raleigh, Durham and Greensboro, NC. The winery and tasting room are located in a century old restored barn and school house with all the original wood work. We grow a variety of vinifra and hybrid vines on 7 acres and we have an additional acre planted with heirloom apple trees. Our first planting was in 2000 with our first crush in 2006. 
In 2016 we also became a brewery, Staunton River Brewing Co, stop by and enjoy some wine , beer and Sangria! Food Truck every  Friday 1-8 and  Saturday's 1-8 
Self contained RV's and tent campers are welcome to overnight.","(37.0603809, -78.8956995)","['Mon: Closed - Closed', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: Closed - Closed', 'Fri: 1:00 PM -  8:00 PM', 'Sat: 1:00 PM -  8:00 PM', 'Sun: Closed - Closed', 'Bu: s', 'Child: Friendly', 'Food: Available: Restaurant', 'Group: Tours', 'Overnight: Stay', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop']",Tasting Fee: $8 wine flights,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Restaurant', 'Group Tours', 'Overnight Stay', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']",,
190,Sassafras Shade Vineyard,https://www.virginiawine.org/wineries/sassafras-shade-vineyard,http://www.sassafrasshade.com,804-596-0179,"4492 Ladysmith Road, Ruther Glen, VA 22546",Northern Virginia,"We are a small family owned and operated vineyard and winery located just 4 miles west of I-95 exit 110 (Ladysmith.) Our rustic tasting room opened in October of 2014 now features Chardonnay, Cabernet Franc, Chambourcin, Vidal Blanc, Cayuga White, and White Chambourcin,in addition to Granny Smith Apple, Old-fashioned Apple, Caroline White, and Caroline Red.  All grapes are grown on premises and all wines are produced and bottled here.","(38.0107915, -77.568456)","['Mon: Closed', 'Tues: Closed', 'Wed: 11:00 AM - 5:00 PM', 'Thurs: 11:00 AM - 5:00 PM', 'Fri: 11:00 AM - 5:00 PM', 'Sat: 11:00 AM - 5:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Food: Available: Light Fare', 'Group: Tours', 'Picnic: Area', 'Tasting: Room', 'Wine: Shop']","Tasting Fee: $5.00, includes glass","['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Picnic Area', 'Tasting Room', 'Wine Shop']",,
191,Saudé Creek Vineyards,https://www.virginiawine.org/wineries/saude-creek-vineyards,http://www.saudecreek.com,804-966-5896,"16230 Cooks Mill Rd, Lanexa, VA 23089 ",Hampton Roads,"Situated high on a hillside adjacent to the Pamunkey River, breathtaking views and a rich history welcome you to Saude Creek Vineyards. The rolling landscape of the vineyard is accentuated by the grandeur of the tasting room. Frank's Tavern, a colonial inn and publick house, was once located on our winery site. Frank's was a favorite stop for wayfarers riding between points north or west and the Colonial capitol of Williamsburg. George Washington and the French General Rochambeau, among other patriots and notables of the time, reputedly slaked their thirst here. Boasting two decks, two patios, an event pavilion, and an outdoor stage, Saude Creek is a favorite for both locals and travelers alike with live music and fantastic food vendors each weekend. We at Saude Creek, invite you to sit back and relax with our beautiful views and award-winning wines.","(37.5174552, -76.8855878)","['Mon: 12:00 PM -  6:00 PM', 'Tues: Closed - Closed', 'Wed: 12:00 PM -  6:00 PM', 'Thurs: 12:00 PM -  7:00 PM', 'Fri: 12:00 PM - 10:00 PM', 'Sat: 12:00 PM -  7:00 PM', 'Sun: 12:00 PM -  7:00 PM', 'Food: Available: Light Fare', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Colonial: Virginia Wine Trail']",Reserve Tasting Fee: $17.00,"['Features', 'Food Available', 'Light Fare', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Colonial Virginia Wine Trail', 'https://www.ColonialVirginiaWineTrail.com')]",
192,Septenary Winery,https://www.virginiawine.org/wineries/septenary-winery,www.septenarywinery.com,,"200 Seven Oaks Farm, Greenwood, VA 22943",Central Virginia,"Looking for a unique wine experience? At Septenary Winery, we offer world-class wine in a breathtaking setting and atmosphere that is truly unique to Central Virginia. Enjoy a seated tasting inside, on the porch, or choose a traditional tasting at the bar, all led by one of our experienced team members. Don’t forget to check out our Wine Club Lounge and learn about other exclusive benefits offered to our club members.","(38.041442, -78.746109)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: 2:00 PM - 5:00 PM', 'Fri: 2:00 PM - 5:00 PM', 'Sat: 2:00 PM - 5:00 PM', 'Sun: 2:00 PM - 5:00 PM', 'Food: Available: Light Fare', 'Private: Parties', 'Tasting: Room', 'Monticello: Wine Trail']",Tour Fee: $40,"['Features', 'Food Available', 'Light Fare', 'Private Parties', 'Tasting Room']","[('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n')]","['Alabama', 'Alaska', 'Arizona', 'California', 'Colorado', 'District of Columbia', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Kentucky', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Mississippi', 'Montana', 'Nebraska', 'Nevada', 'New Hampshire', 'New Mexico', 'New York', 'North Carolina', 'North Dakota', 'Ohio', 'Pennsylvania', 'South Carolina', 'Tennessee', 'Texas', 'Vermont', 'Virginia', 'Washington', 'West Virginia', 'Wisconsin', 'Wyoming']"
193,Seven Doors Winery,https://www.virginiawine.org/wineries/seven-doors-winery,Www.sevendoorswinery.com,5406058745,"5800 Johnson Mountain Rd, Huddleston , VA 24104",Virginia Mountains,"Welcome to an oasis of amazing energy and beauty. Seven Doors Winery is a retreat center for mind, body and spirit events, as well as a start up winery with a dream to make organic wine. We seek harmony in everything we do, which is why we are using biodynamic practices on our land and a beautiful zen like vibe in our tasting room and grounds. We offer a unique package for weddings, and corporate outings. Definitely not traditional! Email us to discuss what cool options we can create for you, whatever the occasion. Or stop by and visit us for a tasting or a picnic. Dogs not only welcome, but preferred. Open weekends noon to 4pm except when closed for private and for special events","(37.1873612, -79.3889786)","['Mon: Closed - Closed', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: Closed - Closed', 'Fri: Closed - Closed', 'Sat: 1:00 PM -  5:00 PM', 'Sun: 1:00 PM -  5:00 PM', 'Child: Friendly', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Bedford: County Wine Trail ']",Tasting Fee: 3.00,"['Features', 'Child Friendly', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings']","[('Bedford County Wine Trail', 'https://www.bedfordwinetrail.com\n')]",
194,Sharp Rock Vineyards,https://www.virginiawine.org/wineries/sharp-rock-vineyards,http://www.sharprockvineyards.com,540-987-8020,"5 Sharp Rock Rd, Sperryville, Virginia 22740",Northern Virginia,"A 225 year old family farm located on the beautiful Hughes River in an unspoiled valley at the foot of Old Rag Mountain.We craft twelve award-winning wines produced in limited quantities from handpicked grapes grown in our own vineyards,and sold only in our renovated 100 year old barn tasting room.","(38.5535354, -78.2391036)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: Closed', 'Fri: 11:00 AM - 5:00 PM', 'Sat: 11:00 AM - 5:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Child: Friendly', 'Food: Available: Light Fare', 'Group: Tours', 'Overnight: Stay', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Artisanal: Wineries of Rappahannock County', 'Blue: Ridge ', 'Foothills: Scenic Wine Trail', 'Jefferson: Heritage Trail', 'Tween: Rivers Trail']",Tour Fee: n/c,"['Features', 'Child Friendly', 'Food Available', 'Light Fare', 'Group Tours', 'Overnight Stay', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Artisanal Wineries of Rappahannock County', 'http://www.artwinerc.com/'), ('Blue Ridge “Whiskey Wine Loop”', 'https://www.discovershenandoah.com'), ('Foothills Scenic Wine Trail', 'https://www.FootHillsScenicWineTrail.com'), ('Jefferson Heritage Trail', 'https://jeffersonheritagetrail.com'), ('Tween Rivers Trail', 'http://www.tweenriverstrail.com/')]",
195,Shenandoah Vineyards,https://www.virginiawine.org/wineries/shenandoah-vineyards,http://www.ShenandoahVineyardsVA.com,(540) 984-8699,"3659 S. Ox Rd., Edinburg, VA 22824",Shenandoah Valley,"Shenandoah Vineyards is the 2nd oldest active winery in Virginia, founded in 1976. Housed in a red barn dating to the Civil War, the winery sits atop an old stone foundation which serves as the aging cellar. An upper story deck adjoining the barn offers a sweeping view of the mountains. In 2018, Michael Shaps purchased the winery and replanted some of the vineyards with grapes suitable for the Shenandoah Valley. Michael Shaps makes award-winning wines in an old-world style that showcase the terroir and varietals.","(38.8466884, -78.5577001)","['Mon: 11:00 AM - 5:00 PM', 'Tues: 11:00 AM - 5:00 PM', 'Wed: 11:00 AM - 5:00 PM', 'Thurs: 11:00 AM - 5:00 PM', 'Fri: 11:00 AM - 5:00 PM', 'Sat: 11:00 AM - 5:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Wine: Shop', 'Shenandoah: County Wine Trail', 'Shenandoah: Valley Wine Trail']",Tasting Fee: $10.00,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Wine Shop']","[('Shenandoah County Wine Trail', 'https://www.ShenandoahTravel.org'), ('Shenandoah Valley Wine Trail', 'https://www.shenandoahvalleywinetrail.com')]",['Virginia']
196,Skippers Creek Vineyard,https://www.virginiawine.org/wineries/skippers-creek-vineyard,http://skipperscreek.com/,804.598.7291,"965 Rocky Ford Rd, Powhatan, VA 23139",Central Virginia,"Skippers Creek Vineyard is located on property owned by Debbie’s family for over 75 years. Growing up, dairy and tobacco farming filled her day with many hours of hard work. Today, sitting about 300 feet above sea level, the pastures thrive with five acres of viniferous vines.","(37.4696489, -77.8687636)","['Mon: Closed - Closed', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: Closed - Closed', 'Fri: Closed - Closed', 'Sat: 2:00 PM -  6:00 PM', 'Sun: 2:00 PM -  6:00 PM']",Tasting Fee: free,,,
197,Slater Run Vineyards,https://www.virginiawine.org/wineries/slater-run-vineyards,http://www.slaterrun.com,540.818.1476,"1500 Crenshaw Road, Upperville, VA 20184",Northern Virginia,"One vineyard, two venues.","(38.9741294, -77.8265367)","['Mon: 11:00 AM - 5:00 PM', 'Tues: Closed', 'Wed: Closed', 'Thurs: 11:00 AM - 5:00 PM', 'Fri: 11:00 AM - 5:00 PM', 'Sat: 11:00 AM - 5:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Food: Available: Light Fare', 'Group: Tours', 'Picnic: Area', 'Private: Parties', 'Reservation: Required', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Fauquier: County Wine Trail']",Reserve Tasting Fee: $50.00 per person for a tasting/tour with complimentary glass of wine and tour.,"['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Picnic Area', 'Private Parties', 'Reservation Required', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Fauquier County Wine Trail', 'https://www.fauquiertourism.com/wineries.html\n')]",
198,Spinning Jenny Vineyard,https://www.virginiawine.org/wineries/spinning-jenny-vineyard,https://spinningjennyvineyard.com,5409229829,"2664 Old Route 100 Road, Draper, Draper, VA 24324",Blue Ridge,"Located directly between the New River Trail and the Transamerica Cycling Route 76, Spinning Jenny Vineyard is a small estate winery committed to producing quality wines from grape varieties that thrive in the southwest Virginia climate.","(37.0048869, -80.743363)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: 12:00 PM - 6:00 PM', 'Fri: 12:00 PM - 6:00 PM', 'Sat: 12:00 PM - 3:00 PM', 'Sun: 12:00 PM - 6:00 PM', 'Food: Available: Light Fare', 'Group: Tours', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Wine: Shop', 'Blue: Ridge Wine Trail']",Reserve Tasting Fee: $12.00 for 9 wines,"['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Wine Shop']","[('Blue Ridge Wine Trail', 'https://www.blueridgewinetrail.com\n')]",
199,Spring Run Vineyards,https://www.virginiawine.org/wineries/spring-run-vineyards,http://www.springrunvineyards.com,(804)382-4529,"10700 Spring Run Road, Chesterfield, VA 23832",Central Virginia,"Spring Run Vineyards is a family-owned and operated boutique “nano-” Virginia Farm Winery. We pride ourselves on hand-crafting quality wines by concentrating on hybrid varieties that excel in Virginia’s extreme climate and withstand minimal spraying requirements. We have been growing wine grapes since 2005 and will grow to 3 acres. We also grow blackberries and produce small lots of fine Blackberry wines. Be sure to check out the latest information on our Facebook page at ""Spring Run Vineyards""","(37.363343, -77.596991)","['Mon: Closed - Closed', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: Closed - Closed', 'Fri: Closed - Closed', 'Sat: 1:00 PM - 5:00 PM', 'Sun: Closed - Closed', 'Child: Friendly', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room']",Tasting Fee: $5.00 if bring a canned good $1. off,"['Features', 'Child Friendly', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room']",,
200,Stanburn Winery,https://www.virginiawine.org/wineries/stanburn-winery,http://www.stanburnwinery.com,276-694-7074,"158 Conner Dr., Stuart, VA 24171",Blue Ridge,"Just like our vineyard, Stanburn Winery is a family adventure. Since 1999, our family has owned and operated a 15-acre vineyard in rural, scenic Patrick County, Va. We now take our passion for growing grapes to bring you our wines bursting with flavor. We nurture six grape varieties including, Chardonnay, Traminette, Cabernet Franc, Vidal Blanc, Chambourcin, and Barbera. We offer 12 wines with eight being dry, two semi-sweet, and two sweet. Thanks for giving Stanburn Winery a try, and we hope you like it as much as we have enjoyed making it for you.","(36.5870609, -80.2003044)","['Mon: Closed - Closed', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: Closed - Closed', 'Fri: Closed - Closed', 'Sat: 1:00 PM -  6:00 PM', 'Sun: 2:00 PM -  6:00 PM', 'Group: Tours', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Mountain: Road Wine Experience ']",Tasting Fee: $5.00,"['Features', 'Group Tours', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Mountain Road Wine Experience', 'http://www.mountainroadwineexperience.com/')]",['Virginia']
201,Star in the Valley Estate Winery,https://www.virginiawine.org/wineries/star-in-the-valley-estate-winery,www.starinthevalley.com,540-514-1687,"33 Amos Lane, Strasburg, VA 22657",Shenandoah Valley,"Since the beginning, we've always had an ear to the ground and an eye to the sky. At over 1000 feet, our vineyards are planted on the oldest mountains in the world. Star in the Valley is committed to producing small batch wines reflective of the terroir of the Shenandoah Valley.","(39.0317722, -78.4119916)","['Mon: Closed - Closed', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: Closed - Closed', 'Fri: 1:00 PM -  6:00 PM', 'Sat: 11:00 AM -  6:00 PM', 'Sun: Closed - Closed', 'Child: Friendly', 'Picnic: Area', 'Tasting: Room', 'Shenandoah: County Wine Trail', 'Shenandoah: Valley Wine Trail']",Reserve Tasting Fee: 9.00,"['Features', 'Child Friendly', 'Picnic Area', 'Tasting Room']","[('Shenandoah County Wine Trail', 'https://www.ShenandoahTravel.org'), ('Shenandoah Valley Wine Trail', 'https://www.shenandoahvalleywinetrail.com')]",
202,Stinson Vineyards,https://www.virginiawine.org/wineries/stinson-vineyards,http://www.stinsonvineyards.com,434.823.7300,"4744 Sugar Hollow Road , Crozet, VA 22932",Central Virginia,"Stinson Vineyards is a family run boutique vineyard located just West of Charlottesville in the scenic foothills of Virginia's Blue Ridge Mountains.  Nestled in ""downtown"" White Hall, the winding driveway boasts some of the area's best views.  A repurposed garage winery combines modern architecture and equipment with traditional winemaking techniques.","(38.1195948, -78.6645613)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: 11:00 AM - 5:00 PM', 'Fri: 11:00 AM - 5:00 PM', 'Sat: 11:00 AM - 5:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Child: Friendly', 'Food: Available: Light Fare', 'Overnight: Stay', 'Pet: Friendly', 'Picnic: Area', 'Tasting: Room', 'Monticello: Wine Trail', 'Skyline: Wine Trail']","Tasting Fee: $10.00/person, $12.00/person for groups of 7 or more. Groups of 7 + require a reservation.","['Features', 'Child Friendly', 'Food Available', 'Light Fare', 'Overnight Stay', 'Pet Friendly', 'Picnic Area', 'Tasting Room']","[('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n'), ('Skyline Wine Trail', 'https://www.skylinewinetrail.com/')]","['Arizona', 'Arkansas', 'California', 'Colorado', 'District of Columbia', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Minnesota', 'Missouri', 'Nebraska', 'Nevada', 'New Hampshire', 'New Mexico', 'New York', 'North Carolina', 'North Dakota', 'Ohio', 'Oklahoma', 'Oregon', 'Pennsylvania', 'South Carolina', 'Tennessee', 'Texas', 'Vermont', 'Virginia', 'Washington', 'West Virginia', 'Wisconsin', 'Wyoming']"
203,Stone House Meadery,https://www.virginiawine.org/wineries/stone-house-meadery,http://www.stonehousemeadery.com,5715120763,"36580 Shoemaker School Road, PURCELLVILLE, VA 20132",Northern Virginia,"Stonehouse Meadery is a small family owned and operated winery, that use local  honey to ferment into wine. We focus on making high quality mead using local honey and 21st century knowledge. Our goal is to produce good mead on a small scale with the highest quality. The meadery will offer 3-5 different wines to the public begining early spring, 2013.","(39.088721, -77.740026)",Appoint ONLY.,,"['Features', 'Tasting Room']",,
204,Stone Mountain Vineyards,https://www.virginiawine.org/wineries/stone-mountain-vineyards,http://www.stonemountainvineyards.com,434-990-9463,"1376 Wyatt Mountain Road, Dyke, VA 22935",Central Virginia,"Located at 1,700 feet, Stone Mountain Vineyards provides a unique perspective from their expansive observation deck. The large tasting room features rich hardwood flooring, comfortable gathering areas and a heartwood Pine Tasting Bar. While looking over the observation deck to the valley below and with a glass of Stone Mountain Cabernet Franc in hand, the true vision of Stone Mountain Founder Al Breiner and Founding Winemaker Chris Breiner can be seen, tasted, and fully appreciated.","(38.2799077, -78.5874764)","['Mon: 12:00 PM -  6:00 PM', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: 12:00 PM -  6:00 PM', 'Fri: 12:00 PM -  7:00 PM', 'Sat: 12:00 PM -  7:00 PM', 'Sun: 12:00 PM -  7:00 PM', 'Monticello: Wine Trail']",Tour Fee: $20.00,,"[('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n')]","['Maryland', 'Minnesota', 'Virginia']"
205,Stone Tower Winery,https://www.virginiawine.org/wineries/stone-tower-winery,http://www.stonetowerwinery.com/,(703) 777-2797,"19925 Hogback Mountain Rd, Leesburg, VA 20175",Northern Virginia,"Stone Tower Winery is a family-owned and -operated winery, where our premium wines and magnificent views are equally matched by impeccable hospitality. Working with a team of top-notch viticulturists, soil specialists and oenologists, we've created over 50 acres of stunning vineyards of classic French varietals on our 206 acre property atop Hogback Mountain in Leesburg, Virginia. Our commitment to authentic quality and stewardship of the land is reflected in every aspect of our process. From bud to grape to bottle, this attention to detail allows us to create spectacular wines.","(39.063064, -77.635397)","Friday through Monday, from 11AM to 6PM; with our last tastings at 5:30pm. Tuesday & Wednesday by appointment. 

Reservations are required for all groups over six.",Tour Fee: 35.00,"['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Loudoun Wine Trail', 'https://www.visitloudoun.org\n'), (""Tuskie's Wine Trail"", 'http://www.tuskies.com/WineTrail/')]","['Florida', 'Minnesota', 'Virginia']"
206,Sunset Hills Vineyard,https://www.virginiawine.org/wineries/sunset-hills-vineyard,www.sunsethillsvineyard.com,540-882-4560,"38295 Fremont Overlook Lane, Purcellville, Virginia 20132",Northern Virginia,"Sunset Hills Vineyard is all about exceptional wine, conservation and sustainability. We grow our grapes on our five farms to make award winning Virginia wine from the nearly 80,000 vines we tend by hand.  We are dedicated to being gentle on the land and by using Virginia sunshine twice: first to ripen over 80 acres of Virginia grapes and again with 180 solar panels to produce enough electricity to power the winery and winemaking operations.","(39.179788, -77.677919)","['Mon: 1:00 PM -  6:00 PM', 'Tues: 1:00 PM -  6:00 PM', 'Wed: 1:00 PM -  6:00 PM', 'Thurs: 1:00 PM -  6:00 PM', 'Fri: 1:00 PM -  7:00 PM', 'Sat: 12:00 PM -  7:00 PM', 'Sun: 12:00 PM -  7:00 PM', 'Food: Available: Light Fare', 'Group: Tours', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Loudoun: Wine Trail', 'Tuski: e']",Tasting Fee: $10.00,"['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings']","[('Loudoun Wine Trail', 'https://www.visitloudoun.org\n'), (""Tuskie's Wine Trail"", 'http://www.tuskies.com/WineTrail/')]","['Alaska', 'California', 'Florida', 'Maryland', 'Minnesota', 'Virginia']"
207,Tarara Winery,https://www.virginiawine.org/wineries/tarara-winery,http://www.tarara.com,703-771-7100,"13648 Tarara Lane, Leesburg, Virginia 20176",Northern Virginia,"Wines with site in mind.  We aim to craft wine that is the best representation of a place and time to showcase our unique sites and vintages.  Our vineyards are planted to Chardonnay, Viognier, Petit Manseng, Merlot, Syrah, Cabernet Sauvignon, Cabernet Franc, Tannat and Petit Verdot.  Bottlings include Nevaeh Vineyard Red and White, Tranquility Vineyard Red, Chardonnay, Cabernet Franc and a white and red blend called Charval and Long Bomb.","(39.2337129, -77.48196)","['Mon: 11:00 AM -  5:00 PM', 'Tues: 11:00 AM -  5:00 PM', 'Wed: 11:00 AM -  5:00 PM', 'Thurs: 11:00 AM -  5:00 PM', 'Fri: 11:00 AM -  6:00 PM', 'Sat: 11:00 AM -  6:00 PM', 'Sun: 11:00 AM -  6:00 PM', 'Food: Available: Light Fare', 'Group: Tours', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Wine: Shop', 'Loudoun: Wine Trail', 'Tuski: e']",Tasting Fee: 15.00-20.00 per person,"['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Wine Shop']","[('Loudoun Wine Trail', 'https://www.visitloudoun.org\n'), (""Tuskie's Wine Trail"", 'http://www.tuskies.com/WineTrail/')]","['Alaska', 'Florida', 'Louisiana', 'Maryland', 'Minnesota', 'Missouri', 'Nevada', 'Pennsylvania', 'Vermont', 'Virginia']"
208,Tasting Room & Taphouse at Mount Ida Reserve,https://www.virginiawine.org/wineries/tasting-room-taphouse-at-mount-ida-reserve,https://mountidareserve.com/,434-286-4282,"5931 Blenheim Road, Charlottesville, VA 22902",Central Virginia,"Our Tasting Room & Taphouse brings a new dimension to Mount Ida Reserve’s time-honored tradition of hospitality. A warm, relaxed, yet refined atmosphere, created with the genuine care and comfort of our guests in mind.","(37.8752587, -78.4962447)","['Mon: 12:00 PM - 6:00 PM', 'Tues: 12:00 PM - 6:00 PM', 'Wed: 12:00 PM - 6:00 PM', 'Thurs: 12:00 PM - 6:00 PM', 'Fri: 12:00 PM - 7:00 PM', 'Sat: 12:00 PM - 7:00 PM', 'Sun: 12:00 PM - 6:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Food: Available: Restaurant', 'Overnight: Stay', 'Pet: Friendly', 'Private: Parties', 'Tasting: Room', 'Weddings:  ']",Tasting Fee: $12.00,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Food Available', 'Restaurant', 'Overnight Stay', 'Pet Friendly', 'Private Parties', 'Tasting Room', 'Weddings']",,['Virginia']
