"tree_name","treetype","context","picking_season","uses","cropping","keeping_(of_fruit)","flavor_style_(apples)","juice_style","juice_color","fruit_persistence","bitter_pit","cooking_result","gardening_skill","self-fertility","pollination_group","pollinating_others","ploidy","vigour","precocity","bearing_regularity","fruit_bearing","organic_culture","general_resistance","scab","mildew","fireblight","cedar_apple_rust","canker","woolly_aphid","cold_hardiness_(usda)","summer_average_maximum_temperatures","chill_requirement","frost_resistance_of_blossom","country_of_origin","period_of_origin","fruit_color","fruit_size","awards"
"Zabergau Reinette apple tree","Apple tree","
Zabergau Reinette is a winter russet apple with a strong rich flavor. It is harvested towards the end of October but at this point the flavor is very ""green"" and nettle-like. It improves after a month or so in cold storage and the flavor then sweetens, but remains pleasantly intense.
As well as its rather handsome apples, Zabergau Reinette produces an abundance of attractive blossom in spring.
Fill in the form below and we will notify you when Zabergau Reinette apple tree is back in stock.
Like most triploid varieties Zabergau Reinette is quite easy to grow, and generally disease-free.
Advice on fruit tree pollination.
Germany, late 19th century.","Late","Eating fresh, Juice","Heavy","3 months or more","Sweeter",,,"Normal ripening",,,"Average","Not self-fertile",3,"Poor","Triploid","Average vigour",,"Regular","Spur-bearer",,"Average",,,,,,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"Germany","1850 - 1899","Russet",,
"Zestar! apple tree","Apple tree","
Zestar! is an attractive early-season apple, which can usually be picked in late August / early September. Unlike many early varieties it is a notably crisp apple and can be stored for at least a month in the fridge.
It was developed by the University of Minnesota, and is a good choice for areas with cold winters.
Fill in the form below and we will notify you when Zestar! apple tree is back in stock.
Zestar! is generally an easy variety to grow, but it has an unusually early bloom which can make pollination tricky. Use our pollination checker to find suitable pollination partners or choose an early-flowering crab-apple such as Wickson. It is also one of the first apple varieties to come out of winter dormancy - you will notice the buds starting to swell.
Zestar! should be hardy to zone 4, on suitable cold-hardy rootstocks.
Advice on fruit tree pollination.
Developed by the University of Minnesota and released in 1999.","Early","Eating fresh","Good","2-3 weeks","Sweet/Sharp",,,,,,"Average","Not self-fertile",1,"Average","Diploid","Average vigour","Precocious",,"Spur-bearer",,"Average","Very susceptible","Some resistance","Some resistance","Some resistance",,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Cold (< 20C / 67F)",,,"United States","1950 - 1999","Green / Red",,
"Amere de Berthencourt cider apple tree","Apple Cider tree","Fill in the form below and we will notify you when Amere de Berthencourt cider apple tree is back in stock.",,,,,,"Bittersweet (cider)",,,,,,,,,,,,,,,,,,,,,,"(5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C","Cool ( 20-24C / 68-75F)",,,"France",,,,
"Bedan des Parts cider apple tree","Apple Cider tree","Malus domestica 'Bedan des Parts'
Bedan des Parts is a traditional French hard-cider variety, widely-grown in the cider-producing region of Normandy. It produces a good quality bittersweet juice, usually blended with other varieties.
The apples are typically harvested towards the end of November, when the skin has turned from yellow-green to golden-orange.
Fill in the form below and we will notify you when Bedan des Parts cider apple tree is back in stock.
In traditional French orchards production on mature trees will be in the range 30-35 tonnes per hectare, which is above average for French cider varieties.
Bedan flowers very late - towards the end of May or early June. This makes it a good choice for areas prone to late frosts, but you will need other late-blooming apple varieties nearby to help with pollination.
Bedan is regarded as susceptible to fireblight and scab in French orchards. However the mild temperate climate of north-western France is quite different to the continental climate of much of the USA, where it appears to have some resistance to fireblight.
Advice on fruit tree pollination.
The origins of this variety are unknown, but it has been grown since the mid-19th century.","Very late","Hard cider","Heavy","1-2 months",,"Bittersweet (cider)",,,,,"Average","Not self-fertile",6,"Average","Diploid","Average vigour","Precocious","Regular","Spur-bearer",,"Average","Very susceptible",,"Some resistance",,,,"(5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C, (9) 20F / -7C, (10) 30F / -1C","Cool ( 20-24C / 68-75F)",,,"France","1850 - 1899","Green / Yellow, Orange","Small",
"Binet Rouge cider apple tree","Apple Cider tree","Binet Rouge is a traditional small French hard cider apple. It is one of the varieties authorised for use in the production of cider classified in the ""appellation d'origine controlee"" of the Pays Auge, in the region of Normandy.
It is not the easiest of varieties to grow, but it produces a very high quality bittersweet juice.
Fill in the form below and we will notify you when Binet Rouge cider apple tree is back in stock.
Binet Rouge is a weak-growing but relatively heavy-cropping variety, and well-known as a biennial bearer. It is important to prevent it setting too much fruit in the ""on"" year.
In traditional French orchards production on mature trees will be in the range 20-30 tonnes per hectare, which is slightly below the average for French cider varieties.
Binet Rouge flowers over a long period and is a useful pollinator of other varieties.
Binet Rouge is regarded as susceptible to fireblight,mildew and scab in French orchards, and resistant to canker - but the mild temperate climate of north-western France is quite different to the continental climate of much of the USA.
Advice on fruit tree pollination.","Very late","Hard cider","Heavy","2-3 weeks",,"Bittersweet (cider)",,,,,"Experienced","Not self-fertile",4,"Good","Diploid","Weak growing","Precocious","Biennial tendency","Spur-bearer",,"Average","Some susceptibility","Very susceptible","Very susceptible",,"Very resistant",,"(5) -20F / -29C","Cool ( 20-24C / 68-75F)",,,"France",,,"Small",
"Bramley's Seedling apple tree","Apple Cider tree","Bramley's Seedling is an outstanding English ""cooker"", and an essential variety for anyone interested in cooking with apples.
The reason for its versatility in the kitchen is its very high acid content, which is far higher than most traditional American cooking apples. As a result it readily cooks down to a stiff but light apple puree, which is regarded as a key requirement in English apple cookery. When cooked it has an excellent tangy sharp flavor which few other apples can match.
The copious juice also makes Bramley's Seedling valuable for juicing.  In English cider production it is used as a ""sharp"", to increase the acidity of cider blends.
Bramley's Seedling trees are well-known for being long-lived. The first tree was grown from a pip in a garden in Nottinghamshire, England, in 1809 - and amazingly this tree still survives.
Fill in the form below and we will notify you when Bramley's Seedling apple tree is back in stock.
Bramley's Seedling is a very vigorous triploid variety - it has three sets of chromosomes rather than the more usual two. Its triploid nature can be seen in the strong dark-coloured leaves, thick branches, and large apples. Bramley's Seedling is quite easy to grow, its great vigour and natural disease resistance means it usually throws off problems fairly easily.
As a triploid variety, Bramley's Seedling is not able to pollinate other apple varieties, but ironically it has attractive and prolific pink-flushed blossom. The fruit ripens late in the season, and stores very well.
Bramley's Seedling is one of the best English apples for growing in North America. Although it thrives in the cool temperate climate of an English summer, it is just as happy in hotter continental climates.
Advice on fruit tree pollination.
Bramley's Seedling was was raised from a pip by a young girl, Mary Ann Brailsford, near Nottingham, England, in 1809. The house, with the mature tree in the garden, was later sold to a Matthew Bramley who allowed cuttings to be propagated as long as his name was used. The original tree still survives - and can be seen in a video made by the BBC in 2011 (note the typical English summer weather!).
The new variety was quickly recognised as an outstanding cooking apple and by the end of the Victorian era it was widely planted in England and Northern Ireland, becoming synonymous with English apple cookery. However for the next century it remained little-known outside the UK, since European and North American growers had long preferred dual-purpose apples which could be both eaten fresh and cooked. Latterly with a resurgence in interest in apple cookery it has become well-known amongst North American apple enthusiasts and, 200 years after its birth, this remarkable ""cooker"" is increasingly recognized as one of the world's great apples varieties.","Late","Culinary, Juice, Hard cider, Traditional cooker","Heavy","3 months or more",,"Sharper","Pale yellow","Normal ripening","Some susceptibility","Puree","Average","Not self-fertile",3,"Poor","Triploid","Slightly large, Very vigorous","Precocious","Regular","Partial tip-bearer",,,"Very resistant","Some resistance","Some resistance","Some resistance",,,"(4) -30F / -34C, (5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C, (9) 20F / -7C, (10) 30F / -1C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Hot (>30C / 86F), Cold (< 20C / 67F)",,,"United Kingdom","1800 - 1849","Green / Red","Large","RHS Award of Garden Merit"
"Bramtot cider apple tree","Apple Cider tree","Fill in the form below and we will notify you when Bramtot cider apple tree is back in stock.","Late","Hard cider",,,,"Bittersweet (cider)",,,,,,,,,,,,,,,,,,,,,,"(6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C, (9) 20F / -7C","Cool ( 20-24C / 68-75F)",,,"France","1850 - 1899",,,
"Brown Snout cider apple tree","Apple Cider tree","Brown Snout gets its name from the brown surround of the base of the apples, which is particularly prominent when the fruitlets are still developing.
It is a traditional English hard-cider variety, producing a mild bittersweet juice.
Fill in the form below and we will notify you when Brown Snout cider apple tree is back in stock.","Late","Hard cider","Good","2-3 weeks",,"Bittersweet (cider)",,"Normal ripening",,,"Average","Not self-fertile",6,"Average","Diploid","Average vigour",,"Biennial tendency","Spur-bearer",,"Average",,,"Very susceptible",,,,"(5) -20F / -29C","Cool ( 20-24C / 68-75F)",,,"United Kingdom","1800 - 1849","Green - light, Russet",,
"Brown's Apple cider apple tree","Apple Cider tree","Brown's Apple is a widely-grown traditional English cider apple variety producing a sharp juice. It is thought to originate from the county of Devon in the early 20th century.
Fill in the form below and we will notify you when Brown's Apple cider apple tree is back in stock.","Late","Hard cider","Heavy","2-3 weeks",,"Sharp (cider)",,"Fruit drops when ripe",,,"Average","Not self-fertile",5,"Average","Diploid","Vigorous","Precocious","Biennial tendency","Spur-bearer",,"Good","Very resistant",,"Some susceptibility",,,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F)",,,"United Kingdom","1900 - 1949","Orange / Red","Average",
"Bulmers Norman cider apple tree","Apple Cider tree","H.P. Bulmer is a long-established English cider manufacturer. From traditional beginnings in the 19th century it is now the largest cider brand in the UK. The company played an active role in the development of English cider, including investing in orchards, production techniques and different varieties. Bulmers Norman is one of their ""in-house"" varieties, although as the name suggests it almost certainly originates from the region of Normandy in France.
Bulmers Norman produces a bittersweet juice.
Fill in the form below and we will notify you when Bulmers Norman cider apple tree is back in stock.
Bulmers Norman is more cold-hardy than many European cider apple varieties. The main horticultural difficulty is its tendency to become biennial - this can be alleviated by ensuring it is not allowed to set too heavy a crop.
Bulmers Norman is a triploid variety, and produces a large and vigorous tree.
Advice on fruit tree pollination.","Late","Hard cider","Heavy","2-3 weeks",,"Bittersweet (cider)",,"Normal ripening",,,"Experienced","Not self-fertile",3,"Poor","Triploid","Vigorous",,"Biennial tendency",,,"Average","Very susceptible",,,,,,"(3) -40F / -40C","Cool ( 20-24C / 68-75F)",,,"United Kingdom","1900 - 1949","Green - light","Small",
"Campfield cider apple tree","Apple Cider tree","Malus domestica 'Campfield'
Campfield is an antique cold-hardy cider apple variety, which produces a bittersweet juice.
It is considered the ideal partner for Harrison in cider blends.
Fill in the form below and we will notify you when Campfield cider apple tree is back in stock.
Campfield flowers in the early / mid-season so most other early or mid-bloom apples will pollinate it.
Advice on fruit tree pollination.
The origins of Campfield are not known, it probably arose in the eastern states in the late 18th century.","Late","Hard cider","Good","1-2 months",,"Bittersweet (cider)",,,,,"Average","Not self-fertile",3,"Average","Diploid","Slightly large",,"Regular","Spur-bearer",,"Average",,,,,,,"(4) -30F / -34C, (5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Cold (< 20C / 67F)",,,"United States","1800 - 1849",,"Average",
"Chisel Jersey cider apple tree","Apple Cider tree","Chisel Jersey is a traditional English hard cider apple variety, producing a bittersweet juice.
Chisel Jersey is also one of the most cold-hardy of the English hard cider apple varieties, so a good choice for the northern states where winter temperatures fall much lower than is usual in England.
Fill in the form below and we will notify you when Chisel Jersey cider apple tree is back in stock.
Chisel Jersey can become somewhat biennial (fruiting in alternate years), if this starts to happen thin fruitlets heavily in the ""on"" year to even things out.
Advice on fruit tree pollination.
Somerset, England - early 19th century.","Very late","Hard cider","Good",,,"Bittersweet (cider)",,"Normal ripening",,,"Average","Not self-fertile",6,"Poor","Diploid","Vigorous","Precocious","Biennial tendency",,,,,"Some susceptibility","Some susceptibility",,,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F)",,,"United Kingdom","1800 - 1849","Orange / Red",,
"Collaos cider apple tree","Apple Cider tree","Collaos is a Spanish hard cider apple variety, and a useful choice for European-style cider blends.
Fill in the form below and we will notify you when Collaos cider apple tree is back in stock.","Very late","Hard cider","Heavy",,,"Bittersharp (cider)",,,,,,,5,,,"Average vigour",,"Regular",,"Suitable","Good","Some resistance","Some resistance",,,"Some susceptibility",,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"Spain",,,,
"Dabinett cider apple tree","Apple Cider tree","A classic English hard cider apple variety, which produces a full bittersweet juice. It is also one of the most reliable and easy cider varieties to grow.
Unlike many hard cider varieties which are best-used for blended ciders, Dabinett can also be used to produce a single-varietal full-bodied medium-dry cider.
Note that Dabinett apples are not suitable for eating fresh, they can only be used for producing juice for hard cider.
Fill in the form below and we will notify you when Dabinett cider apple tree is back in stock.
Dabinett is one of the most reliable cider varieties, with above average disease resistance.
Production is towards the higher end of the scale for cider varieties, e.g. 35-40 tonnes per hectare in north-west France.
Advice on fruit tree pollination.
Dabinett originates from the traditional cider region of Somerset, England in the mid-19th century. It is possibly a seedling of Chisel Jersey.","Very late","Hard cider","Good",,,"Bittersweet (cider)",,"Fruit drops when ripe",,,"Beginner","Self-fertile",6,"Average","Diploid","Weak growing","Precocious","Regular","Spur-bearer",,"Good","Some resistance",,"Some resistance",,,,"(5) -20F / -29C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)","High-chill",,"United Kingdom","1850 - 1899",,,
"Domaine cider apple tree","Apple Cider tree","Domaine is a traditional French cider apple, producing a bittersharp juice. It is one of the primary varieties registered for cider production in the Pays d'Auge in Normandy.
Fill in the form below and we will notify you when Domaine cider apple tree is back in stock.
Domaine seems to be more resistant to fireblight than some other French varieties. (Fireblight was unknown in French cider orchards until recently, so it is not a disease which traditional French varieties would have been selected as resistant to).
Advice on fruit tree pollination.","Late","Hard cider","Good",,,"Bittersharp (cider)",,,,,,,,,,"Slightly large",,,,,,"Some susceptibility",,"Very resistant, Some susceptibility",,,,,"Cool ( 20-24C / 68-75F)",,,"France",,,,
"Ellis Bitter cider apple tree","Apple Cider tree","Ellis Bitter is a traditional and popular English cider apple, producing a good quality mild bittersweet juice.
The fruits are relatively large by cider-apple standards.
Fill in the form below and we will notify you when Ellis Bitter cider apple tree is back in stock.
Ellis Bitter is somewhat unusual, being a heavy-cropping and fairly vigorous variety but with a strong tip-bearing tendency. Regular pruning is therefore best avoided.
Advice on fruit tree pollination.","Mid","Hard cider","Heavy","2-3 weeks",,"Bittersweet (cider)",,"Fruit drops when ripe",,,"Average","Not self-fertile",5,,"Diploid","Vigorous","Precocious",,"Tip-bearer",,"Average","Some susceptibility","Very resistant","Some susceptibility",,,,"(5) -20F / -29C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United Kingdom",,"Red striped","Large",
"Frequin Rouge cider apple tree","Apple Cider tree","Frequin Rouge is a traditional and important French cider variety. It produces a strong bittersharp juice.
It originates from the extreme west of France, in the region of Bretagne, but is used in all the French cider-growing areas. It is a required variety for several ""appellations"", including Cornouaille in Bretagne and Pays d'Auge in Normandie.
Fill in the form below and we will notify you when Frequin Rouge cider apple tree is back in stock.
Frequin Rouge is quite easy to grow.  It is regarded as susceptible to fireblight, canker and scab in French orchards, but the mild temperate climate of north-western France is quite different to the continental climate of much of the USA.
In traditional French orchards production on mature trees will be in the range 30-35 tonnes per hectare, which is above the average for French cider varieties.
Advice on fruit tree pollination.","Mid","Hard cider","Heavy","2-3 weeks",,"Bittersweet (cider)",,,,,"Average","Not self-fertile",4,"Average","Diploid","Slightly large","Precocious","Regular","Spur-bearer","Not-suitable","Poor","Some susceptibility",,"Some susceptibility",,"Some susceptibility",,"(5) -20F / -29C","Cool ( 20-24C / 68-75F)",,,"France",,"Orange / Red",,
"Geneva Tremlett's cider apple tree","Apple Cider tree","Malus domestica 'Geneva Tremlett's'
Geneva Tremlett's is a hard-cider variety, almost certainly of traditional English origins (but not related to the English Tremlett's Bitter - see below).
It produces a high quality bittersharp juice, which is useful for blending with other varieties.
As with many old English cider apples, picking takes place very late in the fall.
Fill in the form below and we will notify you when Geneva Tremlett's cider apple tree is back in stock.
Customers may wonder if there is any relation between the Geneva Tremlett's variety that we sell here, and the traditional English cider variety called Tremlett's Bitter. The answer is there is no relation, and crucially for cider-making purposes, the Geneva Tremlett's is a bittersharp whereas the English variety is a bittersweet.
Nevertheless there is an unusual connection between these two varieties! For many years the USDA at Geneva, NY, maintained scionwood of the original English Tremlett's Bitter, and this was supplied to nurseries throughout the USA who wished to propagate this well-known English cider variety. However it recently came to light that this scionwood had been mis-cataloged, and was not the English Tremlett's Bitter.

The differences are quite obvious - compare our photo, top, with this photo used on our UK sister site. Note the more pointed shape of the English variety. (Sorry, we cannot ship trees from the UK to the USA because of phytosanitary restrictions).
However the ""Geneva Tremlett's"" or ""false Tremlett's"" has proved to be a good quality bittersharp cider variety in its own right (not bittersweet like the original) , and if you are looking for a bittersharp variety for your cider blends it is a good candidate.
The true identification of the Geneva Tremlett's has not been confirmed, but one possibility is that the Geneva variety is actually Skyrme's Kernel, another old English cider variety from the county of Herefordshire, rated by the Victorian pomologist Robert Hogg as ""A favourite cider apple in Herefordshire; quite in the first rank"".","Very late","Hard cider",,"2-3 weeks",,"Bittersharp (cider)",,,,,"Average","Not self-fertile",4,"Average","Diploid","Average vigour",,,"Spur-bearer",,,,,,,,,,,,,"United Kingdom","1850 - 1899","Yellow / Red","Small",
"Harrison cider apple tree","Apple Cider tree","Harrison is quite unusual, an American apple variety that was grown primarily for cider (hard or sweet). In England and France most hard-cider is produced using apple varieties grown specifically for that purpose, but the tradition in North America has been to use mainstream apples for cider production.
Harrison is also unusual in being one of the few varieties which happens to have a harmonious balance of the key elements of good cider juice - tannin (bitter), sugar (sweet), and acid (sharp). It can therefore be used to make a single-varietal cider.
Fill in the form below and we will notify you when Harrison cider apple tree is back in stock.
Harrison has an interesting history. It was well-known in the eastern states in the 18th and 19th centuries, originating from Essex County, New Jersey, but appeared to have become extinct by the start of the 20th century. It was however accurately described in old literature (particularly its distinctive yellow color), and in the late 20th century apple enthusiast Tom Burford was able to track down two old trees, from which scions have since been propagated.","Late","Juice, Hard cider","Good","2-3 weeks",,"Bittersweet (cider)",,"Normal ripening",,,"Average","Not self-fertile",3,"Average","Diploid","Average vigour",,"Regular","Spur-bearer",,"Average","Some resistance",,,,,,"(5) -20F / -29C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1750 - 1799","Russet, Yellow","Large","Slow Food - Ark of Taste"
"Harry Masters Jersey cider apple tree","Apple Cider tree","Harry Masters Jersey is a traditional English cider apple variety, producing a bittersweet juice.
It comes from the county of Somerset, and was in use in the early 20th century. It is possibly a seedling of Yarlington Mill.
Fill in the form below and we will notify you when Harry Masters Jersey cider apple tree is back in stock.","Very late","Hard cider","Good","2-3 weeks",,"Bittersweet (cider)",,"Fruit drops when ripe",,,"Average","Not self-fertile",4,"Average","Diploid","Weak growing","Precocious","Biennial tendency","Tip-bearer",,"Average","Some susceptibility",,,,,,"(5) -20F / -29C","Cool ( 20-24C / 68-75F)",,,"United Kingdom","1900 - 1949","Orange / Red","Average",
"Kingston Black cider apple tree","Apple Cider tree","Kingston Black is one of the definitive English hard cider apple varieties and produces a very high quality bittersharp juice.
It is one of the few English varieties that can be used without blending, to make a single-varietal cider.
Note that Kingston Black cannot be eaten fresh - it is grown solely for hard cider production.
Fill in the form below and we will notify you when Kingston Black cider apple tree is back in stock.
Kingston Black takes time to start bearing, although this is less of an issue on dwarf rootstocks, however the best quality fruit tends to come from older trees. Production is variable - it can be a heavy cropper in some areas but only average in others.  It is a bit susceptible to scab, although this is not likely to be a concern for the backyard grower.
Advice on fruit tree pollination.
Kingston Black takes its name from the the town of Kingston near Taunton in Somerset, the main cider-growing area of the UK. It is thought to have arisen in the 19th century.","Very late","Hard cider","Light","2-3 weeks",,"Bittersharp (cider)",,"Normal ripening",,,"Experienced","Not self-fertile",4,"Average","Diploid","Average vigour","Slow to start bearing","Regular","Spur-bearer","Not-suitable","Poor","Some susceptibility",,,"Some susceptibility","Some susceptibility",,"(5) -20F / -29C","Cool ( 20-24C / 68-75F)",,,"United Kingdom","1850 - 1899","Crimson","Average",
"Major cider apple tree","Apple Cider tree","Major is a traditional English hard-cider variety, producing a full bittersweet juice.
It probably originated in the county of Devon in south-west England in the late 19th century, and was popular throughout Devon and Somerset.
Fill in the form below and we will notify you when Major cider apple tree is back in stock.","Mid","Hard cider","Good","2-3 weeks",,"Bittersweet (cider)",,,,,"Average","Not self-fertile",3,,"Diploid","Slightly large",,,"Spur-bearer",,"Average","Some resistance",,,,,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F)",,,"United Kingdom","1850 - 1899","Green - light","Small",
"Michelin cider apple tree","Apple Cider tree","Michelin is a traditional French hard cider apple variety producing a medium bittersweet juice.
Cider apple varieties tend to remain in use primarily in their area of origin but Michelin was imported to England in the 19th century and is arguably better known and more widely grown in England than in France.
Michelin is a good choice if you are new to growing cider-apples, as it is partially self-fertile, heavy-cropping, starts bearing from a young age, and unlike many European cider varieties, tends to be a regular (rather than biennial) bearer.
Fill in the form below and we will notify you when Michelin cider apple tree is back in stock.
A reliable annual cropper, easy to grow. It is usually considered self-sterile but in practice seems to be partially self-fertile.
Advice on fruit tree pollination.
Michelin is thought to have originated in the 18th century in Normandy, France.","Late","Hard cider","Good","2-3 weeks",,"Bittersweet (cider)",,"Fruit drops when ripe",,,"Beginner","Partially self-fertile",4,"Average","Diploid","Weak growing","Precocious","Regular","Spur-bearer",,"Average","Some resistance",,,,,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F)",,,"France","1750 - 1799","Green - light","Small",
"Muscadet de Dieppe cider apple tree","Apple Cider tree","Muscadet de Dieppe is a very old good quality French bittersweet cider variety, originally from the area around the Normandie port of Dieppe.
Fill in the form below and we will notify you when Muscadet de Dieppe cider apple tree is back in stock.","Mid","Hard cider","Good","2-3 weeks",,"Bittersweet (cider)",,"Normal ripening",,,"Average","Not self-fertile",2,"Average","Diploid",,,,,,"Average",,,"Some resistance",,,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"France","1700 - 1749","Orange flush","Average",
"Nehou cider apple tree","Apple Cider tree","An old French bittersweet cider variety.
Nehou is also a good pollinator for other apple varieties as it flowers over quite a long period.
Fill in the form below and we will notify you when Nehou cider apple tree is back in stock.","Mid","Hard cider","Heavy","2-3 weeks",,"Bittersweet (cider)",,,,,"Average","Not self-fertile",2,"Good","Diploid","Average vigour","Precocious","Regular",,,,"Some susceptibility",,,,,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"France","1900 - 1949",,,
"Noel des Champs cider apple tree","Apple Cider tree","Noel des Champs is a traditional French bittersweet cider apple. It is one of the authorised varieties for cider production in the Pays d'Auge.
Fill in the form below and we will notify you when Noel des Champs cider apple tree is back in stock.","Late","Traditional cooker",,"2-3 weeks",,"Bittersweet (cider)",,,,,,,3,"Average","Diploid",,,,,,"Good",,,,,,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"France",,,,
"Porter's Perfection cider apple tree","Apple Cider tree","Porter's Perfection is a 19th century English cider variety producing a bittersharp juice. The juice quality is very good, but it is best used as a blend with other varieties.
Fill in the form below and we will notify you when Porter's Perfection cider apple tree is back in stock.
Porter's Perfection can lapse into bienneial bearing with age. This can be addressed by heavily thinning the fruitlets in late spring in the ""on"" year. However in other respects this is an easy tree to grow, and one of the more disease-resistant of English cider varieties.
Advice on fruit tree pollination.
Somerset, England - 19th century.","Late","Hard cider","Heavy","2-3 weeks",,"Bittersharp (cider)",,"Normal ripening",,,"Average","Not self-fertile",3,"Average","Diploid","Vigorous",,"Biennial tendency","Spur-bearer",,"Good","Some resistance",,,,"Some resistance",,"(5) -20F / -29C","Cool ( 20-24C / 68-75F)",,,"United Kingdom","1800 - 1849","Orange flush","Average",
"Reine des Pommes cider apple tree","Apple Cider tree","Reine des Pommes is a well-regarded traditional French cider variety, producing a high-quality bittersweet juice.
It is usually a regular cropper, and easy to grow.  It flowers in the middle of the apple blossom season, and in its native area the apples are harvested in November.
If you are looking to add the fresh apple flavors of classic French ciders to your cider blend Reine des Pommes is an excellent choice.
Fill in the form below and we will notify you when Reine des Pommes cider apple tree is back in stock.
Reine des Pommes produces a tree of average vigor.  It grows with a spreading habit and the branches tend to droop downwards.
Advice on fruit tree pollination.
Reine des Pommes seems to have originated from the Ille et Vilaine department of Brittany in north west France, one of the main cider-growing areas.","Mid","Hard cider","Good","2-3 weeks",,"Bittersweet (cider)",,,,,,,,,,"Average vigour",,,,,,,,,,,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"France","1800 - 1849",,,
"Somerset Redstreak cider apple tree","Apple Cider tree","A traditional English cider apple producing a bittersweet juice. Somerset Redstreak is one of the main commercial cider varieties planted in England.
Fill in the form below and we will notify you when Somerset Redstreak cider apple tree is back in stock.
Somerset Redstreak is slightly prone to biennial bearing, fruiting more heavily in alternate years. This can be controlled by heavier thinning in the ""on"" year.
It also ripens in October in England, quite a bit earlier than the main late-season cider varieties which tend to ripen in November.
Advice on fruit tree pollination.
England, early 20th century.","Late","Hard cider","Good","2-3 weeks",,"Bittersweet (cider)",,"Normal ripening",,,"Average","Not self-fertile",5,"Average","Diploid","Slightly large","Precocious","Biennial tendency","Spur-bearer",,"Average","Some resistance",,,,,,"(5) -20F / -29C","Cool ( 20-24C / 68-75F)",,,"United Kingdom","1900 - 1949","Orange / Red, Red striped",,
"Stembridge Cluster cider apple tree","Apple Cider tree","A traditional English hard cider apple from the town of Stembridge in Somerset.
Stembridge Cluster produces a full bittersweet juice.
Fill in the form below and we will notify you when Stembridge Cluster cider apple tree is back in stock.
Like many English cider varieties, Stembridge Cluster has a strong tendency towards biennial bearing.  Counter this by making sure it is not allowed over-crop.
Advice on fruit tree pollination.","Late","Hard cider","Good","2-3 weeks",,"Bittersweet (cider)",,,,,"Average","Not self-fertile",2,"Average","Diploid","Average vigour","Precocious","Biennial tendency","Spur-bearer",,"Average",,,,,,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F)",,,"United Kingdom","1900 - 1949","Green / Red","Average",
"Stoke Red cider apple tree","Apple Cider tree","Stoke Red is a well-regarded high quality English cider apple varieties. It adds a classic bittersharp component to cider blends, and can also be used to make a single-varietal cider.
Fill in the form below and we will notify you when Stoke Red cider apple tree is back in stock.
Stoke Red has generally good disease resistance and is fairly easy to grow. The main issue is that it blooms very late. This is useful in northern areas where late frosts can be a problem, but make sure you have a suitable pollinator variety.
Stoke Red can also lapse into biennial bearing, in other words bearing a crop only every other year. This can be avoided by ensuring that the fruitlets are thinned in early June to prevent over-cropping, which is often the trigger for a poor crop the following year.
Advice on fruit tree pollination.
Stoke Red originates from Rodney Stoke, a village in Somerset, England, before 1920.","Very late","Hard cider","Heavy","2-3 weeks",,"Bittersharp (cider)",,"Normal ripening",,,"Average","Not self-fertile",6,"Average","Diploid","Average vigour","Slow to start bearing","Biennial tendency","Spur-bearer",,"Average","Very resistant",,"Some susceptibility",,,,"(5) -20F / -29C","Cool ( 20-24C / 68-75F)",,,"United Kingdom","1900 - 1949","Orange / Red",,
